"Firmicutes";"Bacteroidetes";"Actinobacteria";"Fusobacteria";"Proteobacteria";"tags"
145;90;1;27;3;"1"
139;93;0;15;9;"1"
153;99;0;13;7;"1"
100;62;1;9;3;"1"
135;78;2;14;4;"1"
76;57;1;5;7;"1"
145;92;1;17;5;"1"
95;41;2;10;3;"1"
144;91;0;16;8;"1"
67;51;1;16;1;"1"
145;102;2;15;5;"1"
103;75;0;10;3;"1"
138;74;5;18;5;"1"
141;105;2;12;7;"1"
151;92;2;16;4;"1"
109;100;2;9;28;"2"
73;84;4;3;18;"2"
55;49;0;7;10;"2"
127;107;5;7;20;"2"
96;74;3;6;21;"2"
54;36;0;5;9;"2"
86;77;4;6;22;"2"
55;59;1;0;10;"2"
135;127;0;9;26;"2"
71;73;0;2;11;"2"
125;118;2;8;24;"2"
113;110;2;6;24;"2"
63;50;1;3;21;"2"
109;104;2;10;25;"2"
93;95;0;4;28;"2"
58;45;2;3;24;"2"
83;83;3;3;14;"2"
114;98;4;4;21;"2"
106;83;1;4;18;"2"
115;88;2;4;26;"2"
46;42;2;5;9;"2"
135;103;1;11;32;"2"
97;101;1;8;27;"2"
91;67;2;5;22;"2"
68;48;2;6;12;"2"
122;94;2;7;34;"2"
105;75;2;7;21;"2"
94;96;3;5;22;"2"
55;61;1;4;13;"2"
72;53;2;9;16;"2"
47;54;3;3;11;"2"
75;48;5;7;9;"2"
63;71;3;3;19;"2"
98;98;2;9;26;"2"
123;114;3;7;30;"2"
131;104;4;11;34;"2"
53;46;2;4;12;"2"
123;115;2;11;43;"2"
78;71;1;5;11;"2"
47;49;1;4;10;"2"
111;87;4;4;35;"2"
64;56;1;5;13;"2"
50;46;1;4;11;"2"
86;68;2;9;22;"2"
117;82;1;8;27;"2"
53;37;0;1;9;"2"
87;77;1;10;16;"2"
93;63;0;8;14;"2"
72;67;0;7;15;"2"
99;112;1;9;25;"2"
76;65;1;3;16;"2"
62;47;0;6;18;"2"
65;51;0;5;15;"2"
83;85;2;4;17;"2"
58;57;3;3;13;"2"
54;50;3;5;10;"2"
100;99;0;7;31;"2"
79;73;1;3;22;"2"
66;41;0;5;11;"2"
103;107;3;6;20;"2"
94;63;1;4;16;"2"
58;48;2;5;15;"2"
113;106;5;10;22;"2"
123;86;2;7;26;"2"
112;100;1;6;25;"2"
116;108;2;4;29;"2"
96;74;4;9;20;"2"
60;80;3;3;10;"2"
75;60;0;2;23;"2"
94;80;1;5;20;"2"
71;45;4;7;17;"2"
90;102;2;9;20;"2"
116;124;1;5;30;"2"
67;56;3;3;19;"2"
57;50;0;8;8;"2"
88;81;4;2;20;"2"
101;103;2;6;32;"2"
149;112;5;2;26;"2"
124;128;1;4;29;"2"
88;75;3;2;10;"2"
76;63;3;7;14;"2"
69;67;1;6;16;"2"
56;79;0;4;9;"2"
73;57;0;8;16;"2"
80;61;1;10;16;"2"
123;116;4;4;28;"2"
68;55;1;2;13;"2"
48;49;0;2;18;"2"
52;59;1;3;15;"2"
75;90;3;7;24;"2"
120;117;5;7;30;"2"
72;54;1;4;12;"2"
114;110;2;7;21;"2"
116;91;1;5;27;"2"
81;79;2;7;12;"2"
109;89;5;9;29;"2"
42;48;2;3;9;"2"
117;124;2;7;26;"2"
91;73;3;8;17;"2"
89;82;3;7;16;"2"
57;40;1;4;5;"2"
60;50;1;2;13;"2"
161;107;1;6;21;"2"
124;118;7;7;24;"2"
109;107;0;7;28;"2"
71;66;0;4;19;"2"
82;57;2;5;12;"2"
55;65;1;5;10;"2"
48;50;0;5;15;"2"
82;73;2;3;26;"2"
111;124;6;8;28;"2"
66;53;1;3;18;"2"
57;53;1;0;15;"2"
52;48;1;4;5;"2"
59;67;1;3;10;"2"
131;116;3;15;31;"2"
102;95;0;10;24;"2"
123;124;2;14;30;"2"
57;62;1;6;13;"2"
142;114;3;2;35;"2"
47;49;1;3;7;"2"
79;84;4;6;16;"2"
50;56;0;3;13;"2"
47;45;1;4;8;"2"
144;105;2;5;24;"2"
108;90;4;9;21;"2"
84;50;2;6;11;"2"
122;109;3;15;33;"2"
100;109;4;7;42;"2"
78;78;0;7;22;"2"
111;84;0;5;16;"2"
128;131;2;9;29;"2"
133;117;7;12;30;"2"
70;53;1;2;16;"2"
54;55;2;5;11;"2"
91;72;5;9;29;"2"
66;74;4;1;17;"2"
52;54;2;5;16;"2"
43;44;2;4;10;"2"
52;43;1;3;9;"2"
67;53;2;5;14;"2"
124;125;6;8;31;"2"
99;89;1;4;13;"2"
108;99;2;9;31;"2"
65;42;1;1;10;"2"
57;38;1;4;6;"2"
109;99;6;1;24;"2"
112;90;2;8;12;"2"
109;104;3;6;22;"2"
101;103;1;4;20;"2"
