V1,V2,V3,V4,V5
56.0926,35.4813,0,5.2073,3.2188
51.8426,39.0108,1.2153,5.4836,2.4477
50.6838,39.8816,0.4527,5.8641,3.1178
48.2773,39.4825,0.6979,9.0756,2.4667
50.0059,41.0083,0,8.1258,0.86
62.4481,29.362,0,6.0389,2.151
52.3931,41.7142,0.5306,4.8126,0.5495
53.2832,35.3168,0.746,6.9548,3.6992
60.0117,34.2671,0,2.1485,3.5727
49.9871,39.9108,0.3637,7.575,2.1634
56.0086,28.3069,0,13.4445,2.24
49.5531,39.5741,1.4756,6.923,2.4742
51.4773,35.9082,0.407,8.5484,3.6591
53.5888,36.4114,0,8.5589,1.4409
51.4799,40.6018,0,6.9268,0.9915
54.557,37.9964,0.8302,5.7894,0.827
53.9732,35.7774,0,7.9862,2.2632
52.1545,38.444,0,6.3876,3.0139
54.3654,36.9076,0,6.0562,2.6708
53.0502,35.08,0.4458,8.7919,2.6321
49.7232,38.3483,0.493,9.4342,2.0013
44.2553,44.2591,0,9.7159,1.7697
57.2041,33.5983,0,7.3603,1.8373
54.0549,35.9655,0,6.5403,3.4393
53.3658,37.6325,0.5668,5.6352,2.7997
48.2442,43.8712,0.8762,5.2578,1.7506
55.9674,36.1179,0,5.0849,2.8298
54.5118,35.0348,0,7.7302,2.7232
53.1211,36.9181,0.9551,6.6395,2.3662
56.1257,34.2393,0,6.9355,2.6995
50.7358,40.2682,0.9274,6.6474,1.4212
50.77,39.2853,0,8.8877,1.057
53.2012,37.3244,0.7004,5.6275,3.1465
51.2126,42.1774,0,4.2212,2.3888
59.197,33.5878,0,6.8097,0.4055
50.723,38.9629,1.4143,6.0934,2.8064
47.496,39.3553,0,9.4425,3.7062
57.5967,36.8404,0,4.1749,1.388
53.2505,32.7593,1.6168,7.0101,5.3633
54.43,39.3277,0,3.9124,2.3299
56.3951,34.2175,0,7.683,1.7044
55.5831,35.4983,0.6003,5.9494,2.3689
54.4306,37.9468,0,4.4793,3.1433
52.0525,39.68,0,6.6134,1.6541
57.1264,32.0732,0.9873,7.3578,2.4553
51.4402,35.7049,0.7059,8.5752,3.5738
56.2501,33.087,0.3342,7.9161,2.4126
57.6211,34.0344,0.6909,5.576,2.0776
53.9056,36.034,0,7.8481,2.2123
55.8162,36.603,0,5.7966,1.7842
54.6722,38.7448,0.4403,3.9491,2.1936
48.8973,43.1457,0.5717,6.2527,1.1326
52.3609,38.5818,1.9159,4.7455,2.3959
55.8883,37.9991,0.3641,4.6748,1.0737
52.5238,35.6236,0.3401,6.4272,5.0853
48.9406,37.0993,0,6.9967,6.9634
55.0246,36.4661,0,7.734,0.7753
50.4246,37.2017,0.8268,8.2522,3.2947
55.512,38.0027,0.4612,4.1898,1.8343
47.476,45.0054,0.836,5.008,1.6746
62.3212,28.6082,0,5.8276,3.243
55.4764,35.2655,0.8419,6.7396,1.6766
57.8949,34.1637,0,7.1432,0.7982
50.9457,37.4546,0.6429,8.3576,2.5992
53.1578,40.3136,0.3706,3.8599,2.2981
47.4114,44.5654,0,7.2946,0.7286
51.3563,33.3173,0.899,9.0151,5.4123
53.5764,38.9182,0.3638,6.4208,0.7208
54.5448,36.3737,0.6865,6.2918,2.1032
48.3165,38.1193,1.6895,7.6261,4.2486
58.5615,33.9251,0,5.7278,1.7856
51.6443,40.508,0,5.7713,2.0764
53.9001,34.3448,0,8.2858,3.4693
58.7687,37.0954,0,3.5469,0.589
50.2382,42.6341,0.7854,3.9663,2.376
50.4822,37.1292,0,7.6158,4.7728
53.8324,33.5792,1.4002,9.0916,2.0966
58.3588,32.1903,0,6.1017,3.3492
51.6094,39.134,0.3997,6.0279,2.829
50.6978,35.6602,0,7.787,5.855
53.9047,36.6038,0.86,4.3015,4.33
54.5165,33.8041,0.3745,10.1707,1.1342
54.2629,36.3274,0,5.867,3.5427
56.2516,36.3988,0,4.7706,2.579
57.1299,35.4271,0.5785,5.1451,1.7194
57.9421,33.4911,0.8671,5.9818,1.7179
52.0687,39.0422,0.6868,3.4094,4.7929
55.7635,35.3913,0.3767,6.5321,1.9364
62.9316,27.1292,1.3213,6.6366,1.9813
55.6392,35.1186,0,6.1606,3.0816
49.295,37.4961,0.7354,11.739,0.7345
53.8913,37.9445,0.7394,5.5708,1.854
53.8528,39.322,0,5.2508,1.5744
57.4937,30.8246,2.0907,7.5017,2.0893
52.7687,39.3367,0.7684,4.5019,2.6243
57.0496,34.648,0.7482,6.051,1.5032
43.9624,40.2799,0.8032,3.6302,11.3243
40.1072,46.1709,2.1954,1.656,9.8705
45.4582,40.49,0,5.7779,8.2739
47.7438,40.2289,1.8858,2.6149,7.5266
48.0199,37.0197,1.4967,2.9811,10.4826
51.9515,34.5801,0,4.815,8.6534
44.0617,39.4875,2.0548,3.0763,11.3197
44.015,47.185,0.7986,0,8.0014
45.4296,42.7723,0,3.0319,8.7662
45.2603,46.4664,0,1.2717,7.0016
45.1988,42.5348,0.725,2.8692,8.6722
44.3866,43.1329,0.7827,2.335,9.3628
45.6544,36.2134,0.7251,2.1838,15.2233
43.5474,41.6786,0.8082,3.9818,9.984
42.2701,43.1869,0,1.8113,12.7317
43.9387,34.0846,1.5096,2.2797,18.1874
44.6382,44.6209,1.6128,1.6079,7.5202
47.3362,40.6451,1.6498,1.6579,8.711
50.0219,39.1481,0.4738,1.8564,8.4998
48.954,37.3795,0.8461,1.7243,11.0961
44.2404,40.3772,1.925,4.8142,8.6432
47.9361,36.5386,0.3522,3.8671,11.306
41.4865,43.1098,0.4231,3.4282,11.5524
48.6113,35.8072,1.0708,2.6697,11.841
50.0151,35.2964,1.4674,4.3959,8.8252
47.1156,36.2749,0.7697,2.7019,13.1379
50.04,35.7088,0.9611,3.3205,9.9696
42.7077,43.6686,1.3605,2.2625,10.0007
41.0427,45.5107,0.7514,2.9914,9.7038
47.4186,34.7928,1.319,5.9501,10.5195
39.8185,45.7687,2.5421,2.5416,9.3291
52.0656,33.3688,3.4756,4.8619,6.2281
39.6153,44.6512,1.8892,1.8873,11.957
42.128,42.0332,0.8649,3.8666,11.1073
44.375,41.1808,1.0902,2.5387,10.8153
46.0903,36.6438,1.3976,3.8912,11.9771
45.296,39.305,1.7174,3.4198,10.2618
41.8363,39.0892,0.6865,3.7558,14.6322
47.0243,42.7146,0.5992,3.0247,6.6372
42.334,44.1503,0.9024,3.6095,9.0038
46.0103,36.145,1.6625,1.6788,14.5034
46.0454,40.2902,0.7129,3.6039,9.3476
44.6338,41.0627,0.8932,3.5754,9.8349
46.0357,36.3454,1.0674,4.8076,11.7439
49.8743,34.8459,0.4215,3.3988,11.4595
53,37,0,1,9
45.57,40.3087,0.5237,5.2214,8.3762
52.1659,35.4567,0,4.4897,7.8877
44.6586,41.6448,0,4.3552,9.3414
40.2793,45.4997,0.406,3.6592,10.1558
47.201,40.3812,0.6215,1.8545,9.9418
46.5941,35.3401,0,4.5162,13.5496
47.7958,37.4612,0,3.6888,11.0542
43.4526,44.5058,1.0366,2.0971,8.9079
43.2771,42.5188,2.2369,2.2402,9.727
44.2403,40.9945,2.4602,4.1135,8.1915
42.2174,41.7646,0,2.936,13.082
44.345,41.0409,0.5582,1.671,12.3849
53.6898,33.3069,0,4.0722,8.9311
43.0772,44.8195,1.2463,2.5063,8.3507
52.7867,35.3747,0.5579,2.2467,9.034
45.301,37.5059,1.5681,3.9103,11.7147
44.156,41.4324,1.9433,3.912,8.5563
50.3692,35.2458,0.8335,2.8888,10.6627
45.928,40.986,0.4163,2.4417,10.228
44.8002,41.6675,0.7656,1.5522,11.2145
47.3203,36.4201,1.9774,4.4292,9.853
38.5004,51.2394,1.9186,1.9222,6.4194
46.8855,37.4803,0,1.2394,14.3948
47.0346,39.9829,0.4948,2.5114,9.9763
49.3175,31.2665,2.7775,4.849,11.7895
40.3463,45.7779,0.8918,4.0407,8.9433
42.0831,44.9084,0.3651,1.7957,10.8477
45.2746,37.8189,2.026,2.0326,12.8479
46.3411,40.6652,0,6.5092,6.4845
45.1966,41.4778,2.057,1.0267,10.2419
41.4029,42.2135,0.8257,2.4602,13.0977
50.5693,38.2243,1.7158,0.6681,8.8225
43.3272,44.752,0.3492,1.3957,10.1759
49.4888,42.0759,1.6831,1.1514,5.6008
46.5898,38.673,1.837,4.2913,8.6089
43.3751,42.1248,0.63,3.8019,10.0682
37.879,53.341,0,2.6946,6.0854
47.4139,37.0126,0,5.187,10.3865
47.6812,36.2558,0.5911,5.9582,9.5137
44.742,42.1583,1.46,1.4414,10.1983
48.8958,39.5984,0.7165,1.4348,9.3545
41.0381,41.8736,0,1.7165,15.3718
39.9947,45.4136,0.7692,2.2956,11.5269
37.6728,45.2481,1.4993,3.5022,12.0776
43.0637,41.9285,1.7872,2.5121,10.7085
50.3836,37.7105,0.7005,2.7944,8.411
44.7719,43.3735,0.781,2.7818,8.2918
48.3142,37.9163,0.4123,2.0861,11.2711
44.7047,43.7048,1.1047,3.8545,6.6313
45.2236,36.9082,2.0767,3.7183,12.0732
40.3847,46.1555,1.9252,2.8806,8.654
42.4085,44.9047,0.7189,2.5371,9.4308
47.4042,38.017,1.5403,4.1672,8.8713
45.2179,41.5712,1.5301,3.5337,8.1471
53.2831,37.3693,0.936,3.741,4.6706
47.6474,39.6548,0.7912,1.5804,10.3262
54.4173,36.1208,0.3385,2.0173,7.1061
44.2788,42.1345,2.4899,2.5106,8.5862
43.478,42.6044,0,2.7917,11.1259
44.3847,41.2253,0,2.5055,11.8845
51.9231,36.0902,1.2678,3.1494,7.5695
40.4591,47.7251,0.7418,3.7077,7.3663
40.7037,42.355,0,4.239,12.7023
44.0544,39.2803,1.0543,1.597,14.014
40.0238,44.7986,2.1559,2.8817,10.14
46.8076,37.5708,0.7062,2.1367,12.7787
45.2526,42.058,0.7933,0,11.8961
47.3068,43.6199,0.9086,3.6273,4.5374
42.1673,47.8416,0.7162,2.1393,7.1356
44.2855,39.1421,1.0139,5.0643,10.4942
44.1299,41.1287,0,4.3286,10.4128
41.8956,42.3774,0.6786,4.7849,10.2635
40.9829,44.6242,0.7233,4.3167,9.3529
48.0381,38.4629,1.0222,0.6932,11.7836
43.9091,45.8007,0.9347,2.8089,6.5466
41.8172,44.419,2.1246,3.1791,8.4601
40.991,45.9098,0,2.4574,10.6418
44.7517,42.8646,0.9519,3.8139,7.6179
51.4453,37.497,0.7213,1.7794,8.557
46.5908,38.7557,1.7197,3.8749,9.0589
54.9535,32.6202,1.3061,3.9321,7.1881
43.2938,38.6191,1.0675,5.3003,11.7193
38.22,41.568,1.5183,2.6736,16.0201
42.2221,42.1496,0,3.7744,11.8539
51.4418,38.8593,0,2.3057,7.3932
42.8169,43.7796,0.6692,3.031,9.7033
44.5344,39.1005,2.3357,4.0165,10.0129
49.32,37.3304,0.7018,1.4068,11.241
42.5006,43.3157,1.5822,3.9402,8.6613
44.107,34.9854,2.432,4.3836,14.092
40.7769,45.6736,2.4744,0.6159,10.4592
40.3027,41.8656,1.548,3.8771,12.4066
41.7425,42.7263,1.9443,3.8809,9.706
48.1621,39.8024,0.9297,2.7711,8.3347
47.4797,37.6298,1.4145,3.5453,9.9307
42.1475,42.5832,2.0278,2.7063,10.5352
48.0203,43.231,0.4891,1.9507,6.3089
43.3556,39.7776,0.8089,3.5893,12.4686
54.6067,35.2982,0.8421,0.838,8.415
53.7807,35.8321,0.9427,3.7818,5.6627
45.6002,41.4262,2.5136,0.4159,10.0441
49.9959,40.1642,0.8861,3.5906,5.3632
44.7182,42.5728,1.2317,2.4746,9.0027
44.0961,44.9823,0.4299,1.7361,8.7556
