V1,V2,V3,V4,V5
0.01,0.51,0.4,0.02,0.03
0,0.59,0.33,0.03,0.02
0,0.48,0.45,0.04,0.01
0,0.51,0.4,0.03,0.01
0,0.55,0.36,0.03,0.03
0,0.5,0.44,0.02,0.02
0,0.46,0.42,0.06,0.03
0,0.47,0.42,0.06,0.03
0,0.56,0.36,0.03,0.02
0,0.49,0.43,0.05,0
0,0.51,0.4,0.06,0.01
0,0.55,0.37,0.04,0.01
0,0.52,0.36,0.06,0.03
0,0.56,0.36,0.04,0.01
0,0.46,0.4,0.09,0.02
0.01,0.56,0.33,0.05,0.02
0.01,0.54,0.36,0.04,0.02
0,0.52,0.36,0.05,0.03
0,0.56,0.33,0.06,0.01
0,0.57,0.34,0.03,0.02
0,0.47,0.43,0.06,0.01
0.01,0.53,0.37,0.06,0.01
0,0.54,0.39,0.02,0.01
0.01,0.51,0.4,0.05,0.01
0,0.58,0.35,0.03,0.02
0,0.55,0.39,0.02,0.01
0,0.57,0.37,0.03,0.01
0,0.51,0.38,0.07,0.02
0.01,0.59,0.33,0.04,0
0,0.53,0.38,0.05,0.02
0,0.48,0.41,0.05,0.02
0,0.54,0.36,0.05,0.02
0,0.57,0.35,0.02,0.02
0,0.56,0.37,0.03,0.02
0,0.54,0.37,0.05,0.01
0.01,0.5,0.4,0.05,0.01
0,0.54,0.33,0.07,0.02
0,0.48,0.39,0.05,0.03
0,0.52,0.36,0.06,0.02
0.01,0.57,0.32,0.04,0.03
0.01,0.5,0.42,0.02,0
0,0.51,0.42,0.03,0.01
0,0.55,0.38,0.03,0.01
0,0.52,0.38,0.05,0.02
0,0.52,0.39,0.04,0.02
0,0.58,0.34,0.03,0.02
0,0.5,0.38,0.07,0.02
0,0.56,0.35,0.03,0.02
0.01,0.53,0.36,0.04,0.02
0,0.51,0.4,0.05,0.01
0,0.48,0.43,0.05,0.01
0.01,0.55,0.36,0.04,0.01
0.01,0.52,0.41,0.02,0.01
0.01,0.58,0.3,0.06,0.01
0,0.59,0.34,0.05,0
0,0.53,0.36,0.06,0.02
0,0.59,0.31,0.03,0.03
0,0.58,0.33,0.05,0.02
0,0.49,0.42,0.04,0.02
0,0.49,0.4,0.05,0.02
0,0.52,0.38,0.06,0
0,0.54,0.4,0.02,0.01
0,0.56,0.4,0.02,0
0.01,0.47,0.43,0.04,0.02
0.01,0.49,0.38,0.07,0.02
0,0.41,0.49,0.04,0.03
0,0.5,0.35,0.07,0.04
0.01,0.49,0.38,0.06,0.02
0,0.58,0.35,0.04,0
0,0.52,0.35,0.06,0.03
0,0.48,0.43,0.05,0.01
0,0.54,0.39,0.01,0.03
0,0.56,0.36,0.04,0.01
0,0.59,0.35,0.02,0.01
0.01,0.52,0.41,0.01,0.02
0,0.56,0.36,0.02,0.03
0.01,0.55,0.33,0.06,0.01
0.01,0.61,0.3,0.03,0.01
0.01,0.41,0.51,0.04,0.01
0.02,0.47,0.45,0.04,0
0,0.42,0.52,0.04,0
0,0.4,0.53,0.04,0.01
0.01,0.4,0.52,0.04,0.01
0,0.46,0.46,0.05,0.01
0,0.46,0.49,0.02,0.01
0.01,0.44,0.48,0.04,0.01
0.01,0.48,0.46,0.02,0.01
0.01,0.56,0.39,0.02,0
0.01,0.43,0.52,0.02,0
0.01,0.44,0.48,0.05,0
0.01,0.48,0.46,0.03,0
0,0.51,0.42,0.04,0.01
0.01,0.46,0.47,0.03,0.01
0.02,0.46,0.46,0.03,0.01
0,0.42,0.52,0.04,0
0.01,0.44,0.48,0.05,0
0.01,0.47,0.48,0.02,0
0.02,0.38,0.54,0.03,0.01
0,0.45,0.49,0.04,0
0.01,0.46,0.47,0.04,0
0,0.38,0.55,0.05,0
0.01,0.49,0.46,0.02,0
0,0.49,0.46,0.02,0.01
0.01,0.47,0.42,0.07,0.01
0.01,0.41,0.52,0.03,0.01
0.01,0.46,0.45,0.04,0.02
0,0.48,0.47,0.03,0
0,0.53,0.4,0.04,0.01
0,0.42,0.5,0.05,0.01
0.01,0.47,0.47,0.03,0
0,0.46,0.47,0.05,0
0.01,0.52,0.42,0.03,0
0.01,0.36,0.54,0.06,0.01
0,0.45,0.49,0.04,0
0,0.44,0.51,0.03,0
0.01,0.49,0.46,0.02,0
0.01,0.47,0.45,0.05,0
0.01,0.47,0.47,0.03,0
0.01,0.5,0.43,0.04,0
0,0.44,0.49,0.05,0
0.01,0.51,0.43,0.03,0
0.01,0.45,0.49,0.03,0
0.01,0.43,0.49,0.05,0
0.01,0.48,0.47,0.02,0
0,0.44,0.49,0.05,0
0,0.45,0.5,0.02,0.01
0.01,0.45,0.45,0.06,0.01
0.03,0.51,0.4,0.04,0
0.02,0.41,0.49,0.05,0.01
0.02,0.46,0.46,0.04,0
0.01,0.39,0.52,0.05,0.01
0.01,0.41,0.52,0.04,0
0.03,0.45,0.47,0.03,0
0,0.41,0.54,0.03,0
0.02,0.44,0.48,0.04,0
0.02,0.43,0.48,0.05,0
0,0.48,0.47,0.03,0
0,0.4,0.53,0.05,0
0,0.38,0.58,0.02,0
0.01,0.49,0.43,0.03,0.02
0.01,0.47,0.48,0.01,0.01
0.01,0.41,0.51,0.05,0
0.01,0.45,0.49,0.03,0
0.01,0.48,0.45,0.04,0
0,0.44,0.53,0.01,0
0.01,0.45,0.49,0.03,0
0.01,0.45,0.47,0.04,0.01
0.01,0.46,0.46,0.03,0.02
0.01,0.47,0.46,0.03,0.01
0,0.41,0.53,0.04,0
0.02,0.45,0.47,0.04,0
0.02,0.48,0.43,0.05,0
0.01,0.4,0.51,0.06,0
0,0.47,0.47,0.03,0.01
0.01,0.47,0.42,0.07,0.01
0.01,0.45,0.47,0.05,0
0.01,0.47,0.46,0.03,0.01
0,0.48,0.45,0.05,0
0,0.41,0.51,0.05,0.01
0,0.48,0.47,0.03,0
0.01,0.45,0.48,0.04,0
0.01,0.42,0.52,0.03,0
0.01,0.43,0.5,0.04,0
0.01,0.39,0.51,0.06,0.01
0,0.44,0.51,0.03,0
0,0.4,0.56,0.02,0
0.01,0.47,0.48,0.02,0
0.01,0.48,0.44,0.05,0
0.01,0.47,0.44,0.05,0.01
0.02,0.5,0.42,0.04,0
0.02,0.52,0.41,0.03,0
0,0.46,0.47,0.04,0.01
0.02,0.45,0.44,0.07,0
0,0.46,0.49,0.03,0
0.01,0.47,0.45,0.04,0.01
0.01,0.45,0.49,0.03,0
0.01,0.53,0.4,0.04,0
0.01,0.41,0.5,0.05,0.01
0,0.45,0.5,0.03,0
0.01,0.45,0.47,0.04,0.01
0.01,0.46,0.45,0.05,0.01
0.01,0.45,0.5,0.02,0
0.01,0.45,0.46,0.06,0
0.02,0.46,0.45,0.04,0.01
0.01,0.48,0.44,0.04,0.01
0.01,0.44,0.5,0.03,0
0,0.44,0.49,0.04,0.01
0.01,0.38,0.54,0.04,0.01
0,0.46,0.5,0.01,0.01
0.01,0.41,0.54,0.02,0
0.01,0.48,0.46,0.03,0
0,0.42,0.49,0.05,0.02
0,0.42,0.51,0.05,0
0.01,0.45,0.46,0.05,0.01
0,0.41,0.53,0.03,0.01
0.01,0.43,0.48,0.06,0
0.01,0.43,0.51,0.02,0.01
0.01,0.49,0.42,0.06,0
0.01,0.46,0.47,0.04,0
0.01,0.48,0.44,0.04,0.01
0.03,0.41,0.5,0.04,0
0.02,0.39,0.52,0.05,0
0.01,0.51,0.41,0.04,0.01
0.03,0.43,0.49,0.03,0
0.01,0.47,0.47,0.03,0
0,0.5,0.45,0.03,0
0,0.44,0.5,0.04,0
0.02,0.47,0.45,0.04,0
0.02,0.43,0.49,0.04,0
0.01,0.47,0.47,0.03,0
0.01,0.43,0.51,0.03,0
0,0.46,0.49,0.03,0
0,0.5,0.44,0.04,0
0.01,0.45,0.46,0.06,0
0.02,0.46,0.45,0.04,0.01
0.01,0.36,0.58,0.03,0
0.01,0.47,0.43,0.06,0.01
0.01,0.47,0.45,0.03,0.02
0.01,0.44,0.5,0.03,0
0.01,0.47,0.47,0.03,0
0.01,0.48,0.45,0.04,0
0.01,0.46,0.45,0.05,0.01
0.02,0.48,0.46,0.01,0.01
0,0.5,0.44,0.03,0.01
0.01,0.42,0.52,0.01,0.02
0.01,0.44,0.5,0.03,0
0.01,0.53,0.39,0.05,0
0.01,0.42,0.52,0.03,0
