Bifidobacterium,Butyricimonas,Odoribacter,Paraprevotella,Bacteroides,Parabacteroides,Prevotella,unkwon1,unkwon2,unkwon3,Clostridium,unkwon4,unkwon5,Ruminococcus,Anaerostipes,Blautia,Coprococcus,Dorea,Lachnospira,Roseburia,unkwon6,unkwon7,unkwon8,unkwon9,Faecalibacterium,Oscillospira,Ruminococcus.1,Dialister,unkwon10,unkwon11,unkwon12,Sutterella,Escherichia,Klebsiella,Haemophilus,Akkermansia,Tags
1.68E-05,0,5.03E-05,1.68E-05,0.000654011,0.000251543,0.001676952,0.000100617,0,6.71E-05,0,1.68E-05,0.000167695,3.35E-05,0,0,0.000201234,8.38E-05,6.71E-05,3.35E-05,8.38E-05,0.000117387,1.68E-05,3.35E-05,0.000201234,0,3.35E-05,0,0.000117387,0.000134156,0,1.68E-05,0,0.000285082,0.000201234,0.000201234,1.00E+00
0,1.68E-05,8.38E-05,1.68E-05,0.000234773,3.35E-05,0.000804937,1.68E-05,0,6.71E-05,0,1.68E-05,6.71E-05,0,0,0,0.000117387,0.000150926,1.68E-05,3.35E-05,0,6.71E-05,1.68E-05,3.35E-05,0.000218004,0,5.03E-05,1.68E-05,3.35E-05,6.71E-05,0,0,0,0.000117387,3.35E-05,0.000150926,1.00E+00
1.68E-05,0,6.71E-05,3.35E-05,0.000402468,0.000100617,0.00103971,6.71E-05,1.68E-05,6.71E-05,3.35E-05,0,6.71E-05,6.71E-05,1.68E-05,1.68E-05,0.000117387,6.71E-05,1.68E-05,3.35E-05,3.35E-05,8.38E-05,1.68E-05,0,0.000318621,0,0.000100617,1.68E-05,8.38E-05,0.000117387,0,3.35E-05,0,0.000218004,0.000184465,0.000251543,1.00E+00
0,0,3.35E-05,0,0.000234773,0.000150926,0.000586933,0,0,6.71E-05,0,0,6.71E-05,1.68E-05,0,1.68E-05,1.68E-05,5.03E-05,1.68E-05,1.68E-05,0,3.35E-05,1.68E-05,0,5.03E-05,0,0,0,6.71E-05,1.68E-05,0,0,0,8.38E-05,0.000134156,0.000100617,1.00E+00
0,1.68E-05,5.03E-05,3.35E-05,0.000318621,0.000150926,0.000855246,3.35E-05,0,6.71E-05,1.68E-05,1.68E-05,6.71E-05,1.68E-05,0,0,0.000100617,5.03E-05,1.68E-05,3.35E-05,0,5.03E-05,0,0,0.000134156,0,0,0,1.68E-05,1.68E-05,0,1.68E-05,0,0.000100617,0.000167695,0.000234773,1.00E+00
0,1.68E-05,0.000100617,1.68E-05,0.000570164,0.000117387,0.001157097,5.03E-05,0,6.71E-05,3.35E-05,1.68E-05,0.000201234,5.03E-05,3.35E-05,1.68E-05,0.000167695,0.000100617,1.68E-05,0,1.68E-05,0,0,0,0.000285082,0,0,1.68E-05,6.71E-05,0.000100617,0,0,0,0.000117387,0.000134156,0.000234773,1.00E+00
1.68E-05,3.35E-05,1.68E-05,5.03E-05,0.000318621,0.000150926,0.001073249,8.38E-05,1.68E-05,6.71E-05,1.68E-05,5.03E-05,5.03E-05,0,0,0,5.03E-05,8.38E-05,1.68E-05,5.03E-05,1.68E-05,5.03E-05,1.68E-05,0,0.000268312,0,5.03E-05,0,6.71E-05,3.35E-05,0,0,0,0.000100617,0.000234773,0.000150926,1.00E+00
0,0,8.38E-05,5.03E-05,0.00035216,0.000201234,0.001106788,0.000100617,0,6.71E-05,1.68E-05,1.68E-05,0.000201234,1.68E-05,0,1.68E-05,6.71E-05,8.38E-05,3.35E-05,3.35E-05,0,8.38E-05,3.35E-05,1.68E-05,0.000301851,0,3.35E-05,0,3.35E-05,6.71E-05,0,0,1.68E-05,0.000167695,0.000117387,0.000218004,1.00E+00
0,0,1.68E-05,3.35E-05,0.000184465,6.71E-05,0.000486316,3.35E-05,0,6.71E-05,0,0,8.38E-05,1.68E-05,0,0,0.000134156,5.03E-05,0,0,0,1.68E-05,1.68E-05,0,0.000100617,0,1.68E-05,1.68E-05,0.000100617,3.35E-05,0,0,3.35E-05,8.38E-05,6.71E-05,0.000134156,1.00E+00
0,0,1.68E-05,8.38E-05,0.000536625,0.000234773,0.001576335,3.35E-05,0,6.71E-05,0,3.35E-05,0.000218004,3.35E-05,0,3.35E-05,0.000218004,0.000117387,3.35E-05,5.03E-05,1.68E-05,6.71E-05,0,0,0.000234773,0,5.03E-05,0,6.71E-05,0.000117387,0,1.68E-05,0,0.000218004,0.000134156,0.00033539,1.00E+00
0,0,6.71E-05,5.03E-05,0.000486316,6.71E-05,0.000972632,5.03E-05,0,6.71E-05,0,1.68E-05,0.000100617,5.03E-05,1.68E-05,1.68E-05,0.000184465,5.03E-05,0,1.68E-05,1.68E-05,3.35E-05,1.68E-05,0,0.000318621,0,0,5.03E-05,3.35E-05,8.38E-05,1.68E-05,0,1.68E-05,0.000184465,0.000100617,0.000318621,1.00E+00
1.68E-05,1.68E-05,6.71E-05,6.71E-05,0.000536625,0.000201234,0.001375101,0.000100617,1.68E-05,6.71E-05,0,3.35E-05,0.000134156,1.68E-05,0,1.68E-05,0.000234773,0.000100617,1.68E-05,5.03E-05,6.71E-05,0.000117387,0,0,0.000318621,0,1.68E-05,0,5.03E-05,0.000100617,0,0,3.35E-05,0.000368929,0.000100617,0.00035216,1.00E+00
0,3.35E-05,0.000100617,3.35E-05,0.000452777,6.71E-05,0.001291253,8.38E-05,0,6.71E-05,0,3.35E-05,0.000134156,3.35E-05,0,0,0.000167695,0.000184465,5.03E-05,6.71E-05,1.68E-05,8.38E-05,0,1.68E-05,0.00033539,0,1.68E-05,0,0.000100617,6.71E-05,0,1.68E-05,0,8.38E-05,8.38E-05,0.000318621,1.00E+00
0,0,3.35E-05,8.38E-05,0.000436008,0.000201234,0.001492487,5.03E-05,0,6.71E-05,0,5.03E-05,5.03E-05,5.03E-05,1.68E-05,0,0.000167695,0.000100617,1.68E-05,6.71E-05,3.35E-05,3.35E-05,0,1.68E-05,0.000301851,0,1.68E-05,0,6.71E-05,6.71E-05,0,1.68E-05,1.68E-05,0.000218004,0.000150926,0.000486316,1.00E+00
1.68E-05,0,0,8.38E-05,0.000268312,0.000100617,0.001022941,1.68E-05,1.68E-05,6.71E-05,3.35E-05,1.68E-05,1.68E-05,1.68E-05,1.68E-05,0,0.000150926,8.38E-05,0,0.000100617,1.68E-05,5.03E-05,0,3.35E-05,0.000201234,0,3.35E-05,0,5.03E-05,8.38E-05,0,1.68E-05,0,0.000117387,8.38E-05,0.000134156,1.00E+00
0,1.68E-05,1.68E-05,3.35E-05,0.000486316,6.71E-05,0.001090019,5.03E-05,0,6.71E-05,0,0,0.000167695,0,1.68E-05,0,8.38E-05,0.000100617,0,1.68E-05,0,1.68E-05,0,1.68E-05,0.000150926,0,1.68E-05,0,3.35E-05,0.000134156,0,1.68E-05,3.35E-05,0.000134156,8.38E-05,0.000134156,1.00E+00
0,3.35E-05,0,8.38E-05,0.000452777,0.000117387,0.000872015,0.000134156,1.68E-05,6.71E-05,0,0,0.000150926,0,0,0,0.000134156,0.000117387,1.68E-05,0,5.03E-05,8.38E-05,0,0,0.000167695,0,1.68E-05,0,8.38E-05,5.03E-05,0,1.68E-05,0,0.000134156,3.35E-05,0.000167695,1.00E+00
0,0,5.03E-05,1.68E-05,0.000503086,0.000117387,0.001207405,0.000150926,0,6.71E-05,0,1.68E-05,3.35E-05,0,0,0,0.000184465,8.38E-05,1.68E-05,3.35E-05,3.35E-05,6.71E-05,0,1.68E-05,0.000268312,0,1.68E-05,1.68E-05,6.71E-05,5.03E-05,0,1.68E-05,0,0.000150926,0.000100617,0.000184465,1.00E+00
0,0,3.35E-05,3.35E-05,0.000251543,0.000100617,0.00070432,6.71E-05,0,6.71E-05,3.35E-05,0,5.03E-05,0,1.68E-05,0,3.35E-05,0.000117387,0,5.03E-05,1.68E-05,3.35E-05,0,0,1.68E-05,0,3.35E-05,0,5.03E-05,5.03E-05,0,0,0,0.000134156,0.000117387,0.000134156,1.00E+00
0,1.68E-05,0,1.68E-05,0.000251543,0.000100617,0.000553394,5.03E-05,0,6.71E-05,0,0,8.38E-05,1.68E-05,0,0,0.000100617,1.68E-05,1.68E-05,1.68E-05,1.68E-05,1.68E-05,0,0,0.000167695,0,1.68E-05,0,3.35E-05,3.35E-05,0,0,0,8.38E-05,8.38E-05,5.03E-05,1.00E+00
3.35E-05,3.35E-05,0.000117387,0.000117387,0.000385699,0.000184465,0.001308023,0.000117387,0,6.71E-05,1.68E-05,3.35E-05,0.000117387,1.68E-05,0,3.35E-05,0.000117387,6.71E-05,3.35E-05,5.03E-05,6.71E-05,5.03E-05,1.68E-05,1.68E-05,0.000218004,0,5.03E-05,0,6.71E-05,0.000117387,0,1.68E-05,0,0.000234773,0.000167695,0.000301851,1.00E+00
0,1.68E-05,3.35E-05,3.35E-05,0.000368929,0.000100617,0.000888785,8.38E-05,0,6.71E-05,1.68E-05,0,6.71E-05,5.03E-05,0,0,0.000117387,8.38E-05,1.68E-05,1.68E-05,0,3.35E-05,1.68E-05,0,0.000134156,0,5.03E-05,0,3.35E-05,1.68E-05,0,0,0,0.000184465,0.000100617,0.000134156,1.00E+00
1.68E-05,0,6.71E-05,6.71E-05,0.000519855,6.71E-05,0.001475718,0.000134156,0,6.71E-05,0,3.35E-05,6.71E-05,3.35E-05,0,1.68E-05,0.000167695,5.03E-05,1.68E-05,3.35E-05,1.68E-05,3.35E-05,0,0,0.000318621,0,6.71E-05,0,0.000100617,0.000134156,0,3.35E-05,1.68E-05,0.000201234,0.000218004,0.000452777,1.00E+00
0,0,5.03E-05,3.35E-05,0.000436008,8.38E-05,0.001140327,5.03E-05,0,6.71E-05,1.68E-05,0,0.000150926,1.68E-05,0,5.03E-05,0.000184465,0.000117387,3.35E-05,5.03E-05,6.71E-05,1.68E-05,0,0,0.000201234,0,5.03E-05,1.68E-05,6.71E-05,8.38E-05,0,1.68E-05,1.68E-05,0.000134156,0.000134156,0.000134156,1.00E+00
0,1.68E-05,0.000100617,5.03E-05,0.000385699,0.000150926,0.000955863,3.35E-05,0,6.71E-05,0,1.68E-05,0.000184465,0,1.68E-05,1.68E-05,0.000134156,8.38E-05,1.68E-05,1.68E-05,6.71E-05,0.000100617,0,0,0.000201234,0,5.03E-05,0,6.71E-05,6.71E-05,0,0,0,0.000184465,8.38E-05,0.000218004,1.00E+00
0,0,0.000117387,1.68E-05,0.000201234,0.000167695,0.000754628,5.03E-05,0,6.71E-05,0,0,6.71E-05,3.35E-05,0,0,8.38E-05,5.03E-05,1.68E-05,1.68E-05,1.68E-05,5.03E-05,0,0,0.000117387,0,1.68E-05,0,5.03E-05,3.35E-05,0,0,1.68E-05,0.000117387,6.71E-05,0.000218004,1.00E+00
0,5.03E-05,1.68E-05,5.03E-05,0.000436008,0.000201234,0.001207405,5.03E-05,0,6.71E-05,1.68E-05,0,6.71E-05,0,0,3.35E-05,0.000285082,6.71E-05,1.68E-05,5.03E-05,1.68E-05,5.03E-05,0,0,0.000234773,0,3.35E-05,0,0.000117387,5.03E-05,0,1.68E-05,0,0.000218004,0.000167695,0.000134156,1.00E+00
0,0,1.68E-05,6.71E-05,0.000301851,0.000117387,0.000838476,3.35E-05,0,6.71E-05,1.68E-05,3.35E-05,6.71E-05,1.68E-05,0,0,0.000134156,6.71E-05,0,3.35E-05,6.71E-05,0.000117387,0,0,0.000100617,0,1.68E-05,0,8.38E-05,0.000134156,0,0,0,0.000117387,0.000100617,0.000134156,1.00E+00
1.68E-05,6.71E-05,6.71E-05,8.38E-05,0.000486316,0.000285082,0.00140864,8.38E-05,0,6.71E-05,0,3.35E-05,8.38E-05,0,1.68E-05,5.03E-05,0.000201234,0.000184465,3.35E-05,3.35E-05,8.38E-05,0.000100617,0,1.68E-05,0.000318621,0,6.71E-05,1.68E-05,3.35E-05,0.000134156,0,1.68E-05,3.35E-05,0.000251543,8.38E-05,0.000218004,1.00E+00
0,1.68E-05,8.38E-05,6.71E-05,0.000402468,0.000134156,0.001123558,5.03E-05,0,6.71E-05,1.68E-05,1.68E-05,0.000150926,5.03E-05,0,0,0.000251543,0.000134156,1.68E-05,6.71E-05,3.35E-05,5.03E-05,3.35E-05,0,0.000184465,0,5.03E-05,0,5.03E-05,3.35E-05,0,1.68E-05,1.68E-05,0.000134156,0.000100617,0.000218004,1.00E+00
1.68E-05,0,0.000100617,3.35E-05,0.000469547,0.000218004,0.001425409,0.000184465,1.68E-05,6.71E-05,0,3.35E-05,0.000184465,5.03E-05,0,0,0.000184465,0.000100617,1.68E-05,1.68E-05,3.35E-05,3.35E-05,1.68E-05,0,0.000251543,0,3.35E-05,0,5.03E-05,8.38E-05,0,0,0,8.38E-05,0.000150926,0.000251543,1.00E+00
0,5.03E-05,0.000134156,0.000100617,0.000586933,0.000201234,0.001576335,8.38E-05,1.68E-05,6.71E-05,0,3.35E-05,0.000100617,1.68E-05,0,1.68E-05,0.000167695,0.000134156,0,0.000117387,3.35E-05,0.000117387,1.68E-05,0,0.000251543,0,3.35E-05,3.35E-05,0.000117387,0.000134156,0,1.68E-05,3.35E-05,0.000184465,0.000184465,0.000301851,1.00E+00
0,3.35E-05,1.68E-05,0,0.000318621,8.38E-05,0.000737859,6.71E-05,0,6.71E-05,1.68E-05,1.68E-05,8.38E-05,5.03E-05,0,0,0.000100617,6.71E-05,0,3.35E-05,3.35E-05,3.35E-05,0,0,0.000167695,0,6.71E-05,0,5.03E-05,6.71E-05,0,0,1.68E-05,8.38E-05,8.38E-05,0.000100617,1.00E+00
0,3.35E-05,1.68E-05,5.03E-05,0.000285082,6.71E-05,0.000939093,0,1.68E-05,6.71E-05,0,0,0.000117387,3.35E-05,0,1.68E-05,1.68E-05,1.68E-05,1.68E-05,3.35E-05,0,3.35E-05,0,1.68E-05,0.000150926,0,0,0,6.71E-05,6.71E-05,0,0,0,0.000218004,0.000134156,0.000201234,1.00E+00
3.35E-05,5.03E-05,5.03E-05,0,0.000519855,0.000184465,0.001073249,8.38E-05,0,6.71E-05,0,0,0.000167695,1.68E-05,0,3.35E-05,0.000184465,0.000167695,1.68E-05,0,5.03E-05,6.71E-05,1.68E-05,1.68E-05,0.000184465,0,3.35E-05,1.68E-05,8.38E-05,6.71E-05,0,3.35E-05,0,0.000134156,0.000117387,0.000134156,1.00E+00
0,3.35E-05,3.35E-05,3.35E-05,0.000402468,0.000134156,0.001291253,1.68E-05,0,6.71E-05,0,1.68E-05,0.000184465,1.68E-05,0,6.71E-05,0.000218004,0.000117387,3.35E-05,0,0,6.71E-05,0,0,0.000285082,0,3.35E-05,0,0.000167695,0.000100617,1.68E-05,0,1.68E-05,6.71E-05,0.000100617,0.000218004,1.00E+00
0,1.68E-05,5.03E-05,0.000100617,0.000218004,3.35E-05,0.000972632,8.38E-05,0,6.71E-05,0,0,0.000117387,1.68E-05,1.68E-05,1.68E-05,8.38E-05,0.000117387,0,6.71E-05,1.68E-05,6.71E-05,0,0,0.000201234,0,6.71E-05,0,6.71E-05,0.000117387,0,1.68E-05,1.68E-05,0.000134156,0.000100617,0.000234773,1.00E+00
1.68E-05,0,6.71E-05,0.000167695,0.000586933,0.000201234,0.001173866,0.000150926,0,6.71E-05,0,3.35E-05,0.000167695,6.71E-05,0,0,0.000167695,0.000218004,0,8.38E-05,6.71E-05,0.000150926,0,5.03E-05,0.000285082,0,5.03E-05,0,0.000184465,0.000117387,0,5.03E-05,1.68E-05,0.000184465,0.000134156,0.000184465,1.00E+00
1.68E-05,1.68E-05,0.000117387,0.000150926,0.000603703,0.000150926,0.001458948,8.38E-05,3.35E-05,6.71E-05,0,0,8.38E-05,1.68E-05,3.35E-05,1.68E-05,0.000251543,0.000134156,3.35E-05,1.68E-05,1.68E-05,0.000150926,0,1.68E-05,0.000436008,0,6.71E-05,1.68E-05,6.71E-05,0.000117387,0,1.68E-05,3.35E-05,0.000201234,0.000218004,0.000234773,1.00E+00
0,0,0.000100617,5.03E-05,0.000285082,0.000268312,0.00105648,8.38E-05,1.68E-05,6.71E-05,0,1.68E-05,0.000100617,1.68E-05,0,1.68E-05,0.000234773,0.000100617,0,5.03E-05,3.35E-05,0.000117387,0,0,0.000268312,0,8.38E-05,0,0.000150926,6.71E-05,0,6.71E-05,0,0.000184465,3.35E-05,0.000285082,1.00E+00
0,0,6.71E-05,1.68E-05,0.000218004,0.000167695,0.00068755,1.68E-05,0,6.71E-05,0,1.68E-05,0.000117387,1.68E-05,0,0,6.71E-05,5.03E-05,0,3.35E-05,3.35E-05,1.68E-05,0,1.68E-05,8.38E-05,0,5.03E-05,0,8.38E-05,1.68E-05,0,0,1.68E-05,6.71E-05,3.35E-05,0.000150926,1.00E+00
0,1.68E-05,3.35E-05,3.35E-05,0.000318621,6.71E-05,0.000670781,1.68E-05,0,6.71E-05,0,0,0.000167695,5.03E-05,0,0,0.000167695,0.000167695,0,3.35E-05,1.68E-05,6.71E-05,0,0,0.000218004,0,1.68E-05,0,3.35E-05,6.71E-05,0,0,0,0.000134156,0.000167695,0.000184465,1.00E+00
0,0,3.35E-05,5.03E-05,0.000452777,0.000150926,0.001022941,0,1.68E-05,6.71E-05,0,3.35E-05,0.000150926,3.35E-05,0,1.68E-05,0.000150926,6.71E-05,0,5.03E-05,3.35E-05,3.35E-05,0,0,0.000301851,0,3.35E-05,0,5.03E-05,5.03E-05,0,0,0,0.000201234,5.03E-05,0.000251543,1.00E+00
