"Firmicutes";"Bacteroidetes";"Actinobacteria";"Fusobacteria";"Proteobacteria";"tags"
38;48;1;3;10;2
56;35;1;2;6;2
43;43;1;2;11;2
51;39;1;0;9;2
45;42;0;4;9;2
44;43;2;3;8;2
42;41;1;6;10;2
45;43;1;2;9;2
44;40;3;6;7;2
46;42;0;3;9;2
38;40;4;5;13;2
50;38;0;3;9;2
36;48;1;4;11;2
44;39;2;1;14;2
36;44;1;6;13;2
49;39;1;4;7;2
42;41;1;5;11;2
49;36;1;5;9;2
44;35;2;4;15;2
44;43;0;3;10;2
47;43;2;3;5;2
46;37;0;7;10;2
51;37;0;4;8;2
46;36;1;4;13;2
39;47;1;3;10;2
49;38;0;3;10;2
42;51;0;2;5;2
38;41;0;4;17;2
37;48;0;4;11;2
51;40;0;1;8;2
35;48;1;6;10;2
41;45;3;1;10;2
49;35;1;3;12;2
50;38;1;4;7;2
39;43;0;3;15;2
56;34;1;1;8;2
45;46;1;1;7;2
52;36;2;1;9;2
47;49;1;0;3;2
42;38;1;2;17;2
58;35;1;3;3;2
51;39;0;3;7;2
41;39;1;4;15;2
43;45;1;1;10;2
40;49;1;1;9;2
51;36;1;2;10;2
42;45;1;2;10;2
42;44;1;4;9;2
42;40;2;2;14;2
49;39;0;2;10;2
46;35;0;4;15;2
48;45;0;2;5;2
52;30;1;4;13;2
52;30;1;2;15;2
42;44;0;3;11;2
41;44;0;3;12;2
47;41;1;1;10;2
45;43;0;2;10;2
42;46;0;4;8;2
50;39;1;3;7;2
40;45;2;2;11;2
42;46;0;1;11;2
41;45;1;2;11;2
50;32;3;4;11;2
42;44;2;2;10;2
41;43;1;7;8;2
53;35;1;1;10;2
54;36;1;3;6;2
38;49;1;2;10;2
54;38;1;2;5;2
44;39;1;5;11;2
37;43;2;5;13;2
51;39;0;0;10;2
43;45;1;1;10;2
50;42;0;2;6;2
47;35;1;2;15;2
41;40;1;7;11;2
51;32;3;3;11;2
46;42;3;0;9;2
45;41;0;3;11;2
40;44;3;6;7;2
32;51;1;4;12;2
48;41;1;4;6;2
48;37;2;2;11;2
48;35;2;4;11;2
55;35;1;1;8;2
40;41;1;6;12;2
37;47;2;2;12;2
38;40;4;3;15;2
42;37;1;4;16;2
55;37;1;3;4;2
48;38;0;4;10;2
35;48;1;5;11;2
44;41;2;4;9;2
52;37;1;2;8;2
47;43;1;2;7;2
42;45;3;3;7;2
52;34;1;3;10;2
46;45;1;1;7;2
45;37;0;3;15;2
46;39;1;2;12;2
46;35;0;2;17;2
47;40;0;4;9;2
37;49;0;1;13;2
47;38;0;5;10;2
48;39;2;1;10;2
47;35;2;3;13;2
44;40;1;7;8;2
48;41;0;4;7;2
46;42;2;4;6;2
39;44;2;3;12;2
50;39;0;4;7;2
51;36;3;3;7;2
45;40;1;6;8;2
37;50;1;4;8;2
47;37;1;6;9;2
36;50;1;4;9;2
43;41;2;2;12;2
45;37;3;7;8;2
46;45;1;6;2;2
47;40;2;1;10;2
48;38;1;2;11;2
50;37;1;3;9;2
45;41;0;3;11;2
43;38;2;6;11;2
45;42;1;2;10;2
51;31;2;2;14;2
56;36;0;1;7;2
51;39;0;2;8;2
52;33;1;4;10;2
44;45;1;5;5;2
46;35;1;4;14;2
44;37;2;3;14;2
41;47;1;3;8;2
